City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches(last 3hrs),Snow inches(last 3hrs),Current Description
0,0,Mahebourg,MU,2020-01-05 11:19:04,-20.41,57.7,81.0,83,75,8.05,0.0,0.0,broken clouds
1,1,Hobart,AU,2020-01-05 11:18:10,-42.88,147.33,60.8,55,20,11.41,0.0,0.0,few clouds
2,2,Yellowknife,CA,2020-01-05 11:15:11,62.45,-114.38,-2.0,84,90,13.87,0.0,0.0,light snow
3,3,Avarua,CK,2020-01-05 11:19:05,-21.21,-159.78,77.0,94,100,3.36,0.0,0.0,overcast clouds
4,4,Turukhansk,RU,2020-01-05 11:19:06,65.8,87.96,18.19,94,100,16.42,1.44,0.0,light snow
5,5,Juneau,US,2020-01-05 11:19:06,58.3,-134.42,27.0,85,75,4.7,0.0,0.0,broken clouds
6,6,Faya,SA,2020-01-05 11:19:06,18.39,42.45,68.0,59,40,14.99,0.0,0.0,scattered clouds
7,7,Mataura,NZ,2020-01-05 11:19:06,-46.19,168.86,50.0,77,64,11.01,0.0,0.31,light rain
8,8,Kavieng,PG,2020-01-05 11:19:07,-2.57,150.8,84.88,73,65,11.1,0.0,3.5,moderate rain
9,9,Ponta Do Sol,BR,2020-01-05 11:19:07,-20.63,-46.0,73.44,81,46,4.88,0.0,0.0,scattered clouds
10,10,Ushuaia,AR,2020-01-05 11:19:08,-54.81,-68.31,53.6,54,40,23.04,0.0,0.0,scattered clouds
11,11,Arraial Do Cabo,BR,2020-01-05 11:19:08,-22.97,-42.02,77.0,88,40,4.7,0.0,0.0,scattered clouds
12,12,Busselton,AU,2020-01-05 11:19:08,-33.64,115.35,77.0,13,32,14.41,0.0,0.0,scattered clouds
13,13,Vaini,IN,2020-01-05 11:19:08,15.34,74.49,82.4,42,40,6.93,0.0,0.0,scattered clouds
14,14,Fare,PF,2020-01-05 11:19:09,-16.7,-151.02,81.01,78,24,10.71,0.0,0.0,few clouds
15,15,Sterling,US,2020-01-05 11:19:09,39.0,-77.4,41.0,52,90,11.41,0.0,0.0,overcast clouds
16,16,Makakilo City,US,2020-01-05 11:14:21,21.35,-158.09,75.99,83,40,4.7,0.0,0.0,moderate rain
17,17,Saldanha,PT,2020-01-05 11:19:09,41.42,-6.55,46.56,60,0,5.44,0.0,0.0,clear sky
18,18,Bredasdorp,ZA,2020-01-05 11:19:10,-34.53,20.04,80.6,47,100,24.16,0.0,0.0,overcast clouds
19,19,Vagur,FO,2020-01-05 11:19:10,61.47,-6.81,46.29,82,50,25.81,0.0,0.0,scattered clouds
20,20,Srednekolymsk,RU,2020-01-05 11:19:10,67.46,153.71,-1.68,64,77,2.1,0.0,0.0,broken clouds
21,21,Bluff,AU,2020-01-05 11:19:10,-23.58,149.07,77.04,55,44,14.34,0.0,0.0,scattered clouds
22,22,Kaliua,TZ,2020-01-05 11:19:11,-5.06,31.79,84.24,57,90,1.68,0.0,3.12,moderate rain
23,23,Cidreira,BR,2020-01-05 11:19:11,-30.17,-50.22,72.64,80,4,12.84,0.0,0.0,clear sky
24,24,Sabaudia,IT,2020-01-05 11:19:11,41.3,13.03,60.01,66,0,9.17,0.0,0.0,clear sky
25,25,Kapaa,US,2020-01-05 11:19:11,22.08,-159.32,75.2,88,90,20.8,0.0,0.0,overcast clouds
26,26,Thompson,CA,2020-01-05 11:19:12,55.74,-97.86,6.8,84,90,5.82,0.0,0.0,light snow
27,27,Basco,US,2020-01-05 11:19:12,40.33,-91.2,36.0,86,1,9.17,0.0,0.0,clear sky
28,28,Atuona,PF,2020-01-05 11:19:12,-9.8,-139.03,79.92,71,3,5.37,0.0,0.31,light rain
29,29,New Norfolk,AU,2020-01-05 11:19:12,-42.78,147.06,60.8,55,20,11.41,0.0,0.0,few clouds
30,30,College,US,2020-01-05 11:19:13,64.86,-147.8,-18.0,73,1,2.24,0.0,0.0,clear sky
31,31,Narsaq,GL,2020-01-05 11:19:13,60.91,-46.05,24.8,68,83,5.82,0.0,0.0,broken clouds
32,32,Chapais,CA,2020-01-05 11:19:13,49.78,-74.86,5.0,84,90,8.05,0.0,0.0,light snow
33,33,Mabay,CU,2020-01-05 11:19:13,20.35,-76.78,68.0,100,41,3.36,0.0,0.0,fog
34,34,Rikitea,PF,2020-01-05 11:19:14,-23.12,-134.97,75.6,74,37,14.05,0.0,0.0,scattered clouds
35,35,Georgetown,GY,2020-01-05 11:16:09,6.8,-58.16,78.8,83,40,2.24,0.0,0.0,scattered clouds
36,36,Norsup,VU,2020-01-05 11:19:14,-16.07,167.38,81.19,79,8,14.63,0.0,0.0,clear sky
37,37,Hithadhoo,MV,2020-01-05 11:19:14,-0.6,73.08,84.79,69,67,8.77,0.0,2.94,light rain
38,38,Cupertino,US,2020-01-05 11:14:27,37.32,-122.03,50.0,93,20,6.93,0.0,0.0,light rain
39,39,Parczew,PL,2020-01-05 11:19:15,51.64,22.9,35.6,80,75,12.75,0.0,0.0,broken clouds
40,40,Port Elizabeth,US,2020-01-05 11:19:15,39.31,-74.98,41.0,55,90,17.22,0.0,0.0,overcast clouds
41,41,Chuy,UY,2020-01-05 11:19:15,-33.69,-53.46,73.22,66,0,6.89,0.0,0.0,clear sky
42,42,Cape Town,ZA,2020-01-05 11:15:01,-33.93,18.42,75.99,53,40,18.34,0.0,0.0,scattered clouds
43,43,Cabo San Lucas,MX,2020-01-05 11:17:16,22.89,-109.91,61.0,59,4,3.0,0.0,0.0,clear sky
44,44,Castro,CL,2020-01-05 11:19:16,-42.48,-73.76,50.0,100,90,6.93,0.0,0.0,overcast clouds
45,45,Sitka,US,2020-01-05 11:19:17,37.17,-99.65,44.01,53,28,18.99,0.0,0.0,scattered clouds
46,46,Seoul,KR,2020-01-05 11:16:36,37.57,126.98,37.4,31,88,3.36,0.0,0.0,overcast clouds
47,47,Inverell,AU,2020-01-05 11:19:17,-29.78,151.11,78.01,46,46,3.0,0.0,0.0,scattered clouds
48,48,Souillac,FR,2020-01-05 11:19:17,45.6,-0.6,45.0,86,0,5.82,0.0,0.0,clear sky
49,49,Katsuura,JP,2020-01-05 11:19:18,33.93,134.5,46.4,52,40,8.05,0.0,0.0,scattered clouds
50,50,Provideniya,RU,2020-01-05 11:19:18,64.42,-173.23,-9.36,98,94,8.14,0.13,0.0,light snow
51,51,Craig,US,2020-01-05 11:19:18,40.52,-107.55,19.4,77,1,3.36,0.0,0.0,clear sky
52,52,Chivay,PE,2020-01-05 11:19:19,-15.64,-71.6,40.53,74,100,6.35,0.0,0.0,overcast clouds
53,53,Pelym,RU,2020-01-05 11:19:19,61.01,62.0,23.29,87,100,6.98,0.0,0.0,overcast clouds
54,54,Presidencia Roque Saenz Pena,AR,2020-01-05 11:19:19,-26.79,-60.44,83.53,34,17,4.45,0.0,0.0,few clouds
55,55,Nola,CF,2020-01-05 11:19:19,3.52,16.05,100.47,13,18,2.55,0.0,0.0,few clouds
56,56,Tabou,CI,2020-01-05 11:19:20,4.42,-7.36,90.09,27,15,3.2,0.0,0.0,few clouds
57,57,Elko,US,2020-01-05 11:15:47,40.83,-115.76,26.01,79,1,2.71,0.0,0.0,clear sky
58,58,Tasiilaq,GL,2020-01-05 11:19:20,65.61,-37.64,30.2,58,100,10.29,0.0,0.0,overcast clouds
59,59,Sao Filipe,CV,2020-01-05 11:19:21,14.9,-24.5,71.89,64,17,14.7,0.0,0.0,few clouds
60,60,Albany,US,2020-01-05 11:16:07,42.65,-73.75,34.0,63,90,11.41,0.0,0.0,light rain
61,61,Victoria,BN,2020-01-05 11:15:16,5.28,115.24,82.4,83,75,10.29,0.0,0.0,broken clouds
62,62,Lebu,ET,2020-01-05 11:19:21,8.96,38.73,77.0,31,45,6.93,0.0,0.0,scattered clouds
63,63,Jiangyou,CN,2020-01-05 11:19:22,31.78,104.73,39.6,75,99,1.05,0.0,0.0,overcast clouds
64,64,Okhotsk,RU,2020-01-05 11:19:22,59.36,143.24,8.78,80,88,11.97,0.0,0.0,overcast clouds
65,65,Sobolevo,RU,2020-01-05 11:19:22,54.43,31.9,31.95,79,11,8.01,0.0,0.0,few clouds
66,66,Salinopolis,BR,2020-01-05 11:19:22,-0.61,-47.36,79.86,79,100,5.97,0.0,6.44,moderate rain
67,67,Sambava,MG,2020-01-05 11:19:23,-14.27,50.17,79.14,94,100,1.81,0.0,7.5,moderate rain
68,68,Riyadh,SA,2020-01-05 11:14:41,24.63,46.72,55.4,87,90,6.93,0.0,0.0,overcast clouds
69,69,Luanda,AO,2020-01-05 11:19:23,-8.83,13.24,89.6,52,40,6.93,0.0,0.0,scattered clouds
70,70,Vila Franca Do Campo,PT,2020-01-05 11:19:23,37.72,-25.43,64.4,82,20,11.41,0.0,0.0,few clouds
71,71,Olga,US,2020-01-05 11:19:24,34.11,-118.17,53.6,81,1,0.83,0.0,0.0,clear sky
72,72,Puerto Ayora,EC,2020-01-05 11:19:24,-0.74,-90.35,75.0,83,74,1.99,0.0,0.0,broken clouds
73,73,San Patricio,PY,2020-01-05 11:19:24,-26.98,-56.83,84.83,51,0,3.0,0.0,0.0,clear sky
74,74,Kaitangata,NZ,2020-01-05 11:19:24,-46.28,169.85,53.01,51,47,27.0,0.0,0.0,scattered clouds
75,75,Norman Wells,CA,2020-01-05 11:19:25,65.28,-126.83,-20.2,75,75,8.05,0.0,0.0,light snow
76,76,Kalachinsk,RU,2020-01-05 11:19:25,55.05,74.58,16.03,94,96,9.31,0.0,0.0,overcast clouds
77,77,Santa Maria,BR,2020-01-05 11:14:45,-16.02,-48.01,68.0,94,75,1.12,0.0,0.0,light rain
78,78,Champerico,MX,2020-01-05 11:19:25,16.38,-93.6,59.36,87,99,5.28,0.0,0.13,light rain
79,79,Jamestown,AU,2020-01-05 11:19:26,-33.21,138.6,54.57,88,100,11.52,0.0,0.88,light rain
80,80,Cockburn Town,TC,2020-01-05 11:16:18,21.46,-71.14,76.64,67,18,5.7,0.0,0.0,few clouds
81,81,Saint-Philippe,CA,2020-01-05 11:19:26,45.36,-73.48,28.99,73,90,10.29,0.0,0.0,light snow
82,82,Biltine,TD,2020-01-05 11:19:27,14.53,20.93,84.51,15,13,3.44,0.0,0.0,few clouds
83,83,Yerbogachen,RU,2020-01-05 11:19:27,61.28,108.01,13.62,92,100,14.0,0.56,0.0,light snow
84,84,San Jeronimo,PE,2020-01-05 11:19:27,-13.65,-73.37,53.69,74,98,3.18,0.0,0.0,overcast clouds
85,85,Qeshm,IR,2020-01-05 11:14:28,26.96,56.27,77.0,77,90,4.7,0.0,0.0,haze
86,86,Dikson,RU,2020-01-05 11:19:28,73.51,80.55,12.47,88,100,22.77,0.5,0.0,light snow
87,87,Gainesville,US,2020-01-05 11:15:02,29.65,-82.33,46.99,56,1,9.17,0.0,0.0,clear sky
88,88,Shimoda,JP,2020-01-05 11:19:29,34.7,138.93,42.8,45,20,10.29,0.0,0.0,few clouds
89,89,Caravelas,BR,2020-01-05 11:19:29,-17.73,-39.27,82.76,65,100,12.06,0.0,0.0,overcast clouds
90,90,Bagdarin,RU,2020-01-05 11:19:29,54.44,113.59,2.71,85,42,4.45,0.0,0.0,scattered clouds
91,91,Galle,GN,2020-01-05 11:19:29,10.08,-12.83,86.83,19,0,3.69,0.0,0.0,clear sky
92,92,Garissa,KE,2020-01-05 11:19:30,-0.46,39.64,91.56,40,97,3.98,0.0,0.0,overcast clouds
93,93,Upernavik,GL,2020-01-05 11:19:30,72.79,-56.15,-35.45,92,62,11.32,0.0,0.0,broken clouds
94,94,Jardim,BR,2020-01-05 11:19:30,-21.48,-56.15,81.79,63,0,4.29,0.0,0.0,clear sky
95,95,Kruisfontein,ZA,2020-01-05 11:19:30,-34.0,24.73,74.8,56,41,19.57,0.0,0.0,scattered clouds
96,96,Regina,CA,2020-01-05 11:16:14,50.45,-104.62,25.0,73,5,20.8,0.0,0.0,clear sky
97,97,Clyde River,CA,2020-01-05 11:19:31,70.47,-68.59,-29.2,66,90,5.82,0.0,0.0,haze
98,98,Hamilton,CA,2020-01-05 11:19:31,43.26,-79.87,34.0,79,75,12.75,0.0,0.0,broken clouds
99,99,Lahij,YE,2020-01-05 11:19:31,13.06,44.88,82.45,57,46,10.74,0.0,0.0,scattered clouds
100,100,Chor,PK,2020-01-05 11:19:31,25.52,69.77,78.13,21,0,5.5,0.0,0.0,clear sky
101,101,Nikolskoye,RU,2020-01-05 11:19:32,59.7,30.79,30.2,68,75,17.9,0.0,0.0,broken clouds
102,102,Punta Arenas,CL,2020-01-05 11:15:25,-53.16,-70.91,48.2,87,75,12.75,0.0,0.0,light rain
103,103,Kurumkan,RU,2020-01-05 11:19:32,54.33,110.32,2.73,84,16,2.19,0.0,0.0,few clouds
104,104,Salalah,OM,2020-01-05 11:19:32,17.01,54.1,80.6,65,75,13.87,0.0,0.0,broken clouds
105,105,Rio Grande,BR,2020-01-05 11:19:33,-32.03,-52.1,73.4,78,0,7.2,0.0,0.0,clear sky
106,106,Barrow,AR,2020-01-05 11:19:33,-38.31,-60.23,65.3,88,98,6.42,0.0,0.0,overcast clouds
107,107,Los Llanos De Aridane,ES,2020-01-05 11:19:33,28.66,-17.92,69.8,56,40,10.29,0.0,0.0,scattered clouds
108,108,Constitucion,MX,2020-01-05 11:19:33,23.99,-104.67,36.0,85,5,1.3,0.0,0.0,clear sky
109,109,Ambilobe,MG,2020-01-05 11:19:34,-13.19,49.05,85.64,70,100,10.45,0.0,0.0,overcast clouds
110,110,Fairbanks,US,2020-01-05 11:19:34,64.84,-147.72,-18.0,73,1,0.74,0.0,0.0,clear sky
111,111,Nanortalik,GL,2020-01-05 11:19:34,60.14,-45.24,29.16,75,76,22.64,0.0,0.0,broken clouds
112,112,Vostok,RU,2020-01-05 11:19:34,46.45,135.83,-5.8,98,100,4.97,0.0,0.0,overcast clouds
113,113,Khani,GE,2020-01-05 11:19:34,41.96,42.96,51.8,53,0,2.24,0.0,0.0,clear sky
114,114,Manhush,UA,2020-01-05 11:19:35,47.06,37.31,37.62,96,100,6.87,0.0,0.37,light rain
115,115,Mehamn,NO,2020-01-05 11:19:35,71.03,27.85,25.23,83,100,15.64,1.31,0.0,light snow
116,116,Tiksi,RU,2020-01-05 11:19:35,71.64,128.87,-15.83,87,79,10.67,0.0,0.0,broken clouds
117,117,Khatanga,RU,2020-01-05 11:19:35,71.98,102.47,-17.86,89,0,9.89,0.0,0.0,clear sky
118,118,Ahipara,NZ,2020-01-05 11:19:36,-35.17,173.16,64.0,100,80,18.23,0.0,0.13,light rain
119,119,Lavrentiya,RU,2020-01-05 11:19:36,65.58,-170.99,-9.83,87,100,10.16,0.0,0.0,overcast clouds
120,120,Talnakh,RU,2020-01-05 11:19:36,69.49,88.39,14.0,92,90,33.55,0.0,0.0,overcast clouds
121,121,East London,ZA,2020-01-05 11:19:37,-33.02,27.91,71.6,83,75,19.46,0.0,0.0,broken clouds
122,122,Haradok,BY,2020-01-05 11:19:37,55.46,29.99,32.0,66,75,6.71,0.0,0.0,broken clouds
123,123,Hilo,US,2020-01-05 11:19:37,19.71,-155.08,71.6,83,75,8.05,0.0,0.0,broken clouds
124,124,Maceio,BR,2020-01-05 11:19:37,-9.67,-35.74,80.6,74,75,9.17,0.0,0.0,broken clouds
125,125,Dombarovskiy,RU,2020-01-05 11:19:37,50.76,59.54,15.58,95,41,6.15,0.0,0.0,scattered clouds
126,126,Mar Del Plata,AR,2020-01-05 11:18:20,-46.43,-67.52,59.58,39,93,27.81,0.0,0.0,overcast clouds
127,127,Pontal Do Parana,BR,2020-01-05 11:19:38,-25.67,-48.51,75.0,77,75,5.82,0.0,0.0,broken clouds
128,128,Saint-Pierre,FR,2020-01-05 11:19:38,48.95,4.24,45.0,87,0,2.24,0.0,0.0,clear sky
129,129,Ruteng,ID,2020-01-05 11:19:38,-8.61,120.46,69.69,98,99,2.46,0.0,0.56,light rain
130,130,Maniitsoq,GL,2020-01-05 11:18:03,65.42,-52.9,16.3,75,100,13.15,0.0,0.0,overcast clouds
131,131,Ngunguru,NZ,2020-01-05 11:19:39,-35.62,174.5,63.0,81,19,5.01,0.0,0.0,few clouds
132,132,Huarmey,PE,2020-01-05 11:19:39,-10.07,-78.15,69.4,79,100,1.52,0.0,0.0,overcast clouds
133,133,Rocha,UY,2020-01-05 11:19:26,-34.48,-54.34,74.75,55,0,10.89,0.0,0.0,clear sky
134,134,Mount Pleasant,US,2020-01-05 11:18:43,33.16,-94.97,46.4,75,1,3.36,0.0,0.0,clear sky
135,135,Sakaiminato,JP,2020-01-05 11:19:40,35.55,133.23,42.8,81,75,2.24,0.0,0.0,broken clouds
136,136,Samarai,PG,2020-01-05 11:19:40,-10.62,150.67,78.46,86,99,2.33,0.0,0.69,light rain
137,137,Aksarka,RU,2020-01-05 11:19:40,66.56,67.8,20.37,82,0,19.26,0.0,0.0,clear sky
138,138,Quesnel,CA,2020-01-05 11:19:41,52.98,-122.49,30.2,63,75,8.05,0.0,0.0,broken clouds
139,139,Flin Flon,CA,2020-01-05 11:19:41,54.77,-101.88,9.55,91,100,10.45,0.0,0.0,overcast clouds
140,140,Sechura,PE,2020-01-05 11:19:41,-5.56,-80.82,70.72,86,93,6.67,0.0,0.0,overcast clouds
141,141,Tecoanapa,MX,2020-01-05 11:19:41,16.99,-99.26,73.4,94,5,2.98,0.0,0.0,clear sky
142,142,Leningradskiy,RU,2020-01-05 11:19:42,69.38,178.42,-10.95,56,0,3.2,0.0,0.0,clear sky
143,143,Saskylakh,RU,2020-01-05 11:19:42,71.97,114.09,-21.75,95,30,10.07,0.0,0.0,scattered clouds
144,144,Linxia,CN,2020-01-05 11:19:42,35.6,103.21,24.01,65,93,2.21,0.0,0.0,overcast clouds
145,145,Hirara,JP,2020-01-05 11:19:43,24.8,125.28,69.8,73,75,11.41,0.0,0.0,broken clouds
146,146,Necochea,AR,2020-01-05 11:18:59,-38.55,-58.74,64.31,92,99,8.75,0.0,0.19,light rain
147,147,Bonavista,CA,2020-01-05 11:19:43,48.65,-53.11,26.4,79,67,2.73,0.0,0.0,broken clouds
148,148,Palmer,AU,2020-01-05 11:19:43,-34.85,139.16,62.6,51,100,8.05,0.0,0.56,light rain
149,149,Zhigansk,RU,2020-01-05 11:19:44,66.77,123.37,-14.28,94,100,12.01,0.0,0.0,overcast clouds
150,150,Pisco,PE,2020-01-05 11:19:44,-13.71,-76.2,68.0,94,75,6.93,0.0,0.0,mist
151,151,Kuminskiy,RU,2020-01-05 11:19:44,58.67,66.57,21.76,94,56,7.31,0.0,0.0,broken clouds
152,152,Havelock,US,2020-01-05 11:19:19,34.88,-76.9,43.0,52,1,13.87,0.0,0.0,clear sky
153,153,Saint George,GR,2020-01-05 11:19:45,39.45,22.34,46.99,61,75,16.11,0.0,0.0,broken clouds
154,154,Behbahan,IR,2020-01-05 11:19:45,30.59,50.24,68.0,37,20,18.34,0.0,0.0,few clouds
155,155,Bubaque,GW,2020-01-05 11:19:45,11.28,-15.83,74.73,42,1,15.08,0.0,0.0,clear sky
156,156,Labuhan,ID,2020-01-05 11:19:45,-2.54,115.51,77.4,85,91,1.7,0.0,0.0,overcast clouds
157,157,Tuktoyaktuk,CA,2020-01-05 11:19:46,69.44,-133.03,-24.74,89,66,6.6,0.0,0.0,broken clouds
158,158,Margate,AU,2020-01-05 11:19:46,-43.03,147.26,59.0,62,20,10.29,0.0,0.0,few clouds
159,159,Qaanaaq,GL,2020-01-05 11:19:46,77.48,-69.36,-34.37,55,0,7.72,0.0,0.0,clear sky
160,160,Isangel,VU,2020-01-05 11:19:46,-19.55,169.27,76.5,83,54,18.59,0.0,0.69,light rain
161,161,Ketchikan,US,2020-01-05 11:19:47,55.34,-131.65,35.6,86,75,4.7,0.0,0.0,broken clouds
162,162,Kodiak,US,2020-01-05 11:19:47,39.95,-94.76,39.0,59,1,10.29,0.0,0.0,clear sky
163,163,Kedrovyy,RU,2020-01-05 11:19:47,56.17,91.82,26.6,79,40,11.18,0.0,0.0,light shower snow
164,164,Plouzane,FR,2020-01-05 11:19:47,48.38,-4.62,46.4,75,90,8.05,0.0,0.0,overcast clouds
165,165,Itoman,JP,2020-01-05 11:19:48,26.12,127.67,66.2,59,20,10.29,0.0,0.0,few clouds
166,166,Paamiut,GL,2020-01-05 11:19:48,61.99,-49.67,22.08,73,94,5.79,0.0,0.0,overcast clouds
167,167,Masterton,NZ,2020-01-05 11:19:49,-40.95,175.66,62.01,88,68,8.37,0.0,0.06,broken clouds
168,168,Butaritari,KI,2020-01-05 11:19:49,3.07,172.79,85.1,76,100,13.94,0.0,3.63,moderate rain
169,169,Airai,TL,2020-01-05 11:19:50,-8.93,125.41,68.63,91,88,4.5,0.0,0.69,light rain
170,170,Carnarvon,ZA,2020-01-05 11:19:50,-30.97,22.13,92.53,8,26,18.48,0.0,0.0,scattered clouds
171,171,Aklavik,CA,2020-01-05 11:19:50,68.22,-135.01,-23.8,67,90,2.24,0.0,0.0,light snow
172,172,Ust-Kalmanka,RU,2020-01-05 11:19:50,52.12,83.31,20.19,80,98,2.75,0.0,0.0,overcast clouds
173,173,Torbay,CA,2020-01-05 11:19:51,47.66,-52.73,30.99,92,90,3.36,0.0,0.0,overcast clouds
174,174,Ribeira Grande,PT,2020-01-05 11:19:51,38.52,-28.7,64.4,88,75,17.22,0.0,0.0,broken clouds
175,175,Sabha,LY,2020-01-05 11:19:42,27.03,14.43,58.19,26,0,5.53,0.0,0.0,clear sky
176,176,Hermanus,ZA,2020-01-05 11:19:51,-34.42,19.24,75.99,58,100,11.01,0.0,0.0,overcast clouds
177,177,Payakumbuh,ID,2020-01-05 11:19:51,-0.23,100.63,69.64,93,24,1.25,0.0,0.81,light rain
178,178,Dawei,MM,2020-01-05 11:19:52,14.07,98.19,81.36,75,0,8.86,0.0,0.0,clear sky
179,179,Esperance,AU,2020-01-05 11:19:52,-33.86,121.89,75.2,38,13,11.41,0.0,0.0,few clouds
180,180,Ancud,CL,2020-01-05 11:19:52,-41.87,-73.83,50.0,100,90,6.93,0.0,0.0,overcast clouds
181,181,Ilulissat,GL,2020-01-05 11:19:53,69.22,-51.1,12.2,85,100,25.28,0.31,0.0,light snow
182,182,Port Alfred,ZA,2020-01-05 11:19:53,-33.59,26.89,73.99,81,71,7.0,0.0,0.0,broken clouds
183,183,Ban Nahin,LA,2020-01-05 11:19:53,18.24,104.21,77.18,50,0,4.16,0.0,0.0,clear sky
184,184,Bilma,NE,2020-01-05 11:19:53,18.69,12.92,65.39,22,0,5.95,0.0,0.0,clear sky
185,185,Colares,PT,2020-01-05 11:19:54,38.8,-9.45,55.0,66,0,8.05,0.0,0.0,clear sky
186,186,Nouadhibou,MR,2020-01-05 11:19:54,20.93,-17.03,62.6,29,45,21.92,0.0,0.0,scattered clouds
187,187,Belaya Gora,RU,2020-01-05 11:19:54,68.54,146.19,-20.67,93,8,0.72,0.0,0.0,clear sky
